Generated by COGITO
Atom1     Atom2     dist(A)   eV/bond   elec/bond #/unit    ev/unit   
Pb        O         2.35      -1.5733   0.1768    8         -12.5868  
O         O         2.87      0.82      -0.0325   4         3.2799    
Pb        Pb        3.73      0.0059    -0.0007   4         0.0238    
O         O         4.06      0.004     -0.0001   4         0.0162    
Pb        Pb        4.06      0.0396    -0.0013   4         0.1583    
Pb        Pb        4.22      -0.1835   0.0147    4         -0.7341   
Pb        O         4.69      -0.0029   0.0001    16        -0.0457   
Pb        O         4.74      0.015     -0.0007   8         0.1199    
Pb        Pb        5.47      -0.0044   0.0002    2         -0.0088   
O         O         5.47      -0.0002   0.0       2         -0.0005   
O         O         5.73      0.0006    -0.0      4         0.0025    
Pb        Pb        5.73      0.0015    -0.0001   4         0.0061    
O         O         6.18      0.0002    0.0       8         0.0013    
Pb        O         6.2       -0.0001   0.0       4         -0.0002   
Pb        O         6.24      0.0009    0.0       16        0.0137    
O         O         6.41      0.0001    -0.0      4         0.0004    
O         O         6.81      -0.0      -0.0      8         -0.0001   
Pb        Pb        6.82      -0.0003   0.0       12        -0.0035   
Pb        O         6.97      -0.0      -0.0      4         -0.0001   
Pb        Pb        7.12      -0.0      0.0       4         -0.0002   
Pb        O         7.44      0.0       -0.0      4         0.0002    
O         O         7.93      0.0005    0.0       8         0.004     
Pb        Pb        7.93      0.0       0.0       8         0.0003    
Pb        O         8.06      0.0       -0.0      8         0.0003    
O         O         8.43      0.0003    0.0       4         0.0014    
Pb        O         9.02      0.0001    0.0       2         0.0001    

total eV (iCOHP) / unit:  -9.7516
total bond elec (iCOOP) / unit:  1.3305
